2025-02-18 22:26:38 INFO  TableSortSearchResults:17 - staring the table sort search test method
2025-02-18 22:26:38 INFO  TableSortSearchResults:20 - entering New York in search box.
2025-02-18 22:26:38 INFO  TableSortSearchResults:28 - staring the table sort search 2 test method
2025-02-18 22:26:38 INFO  TableSortSearchResults:31 - entering New York in search box.
2025-02-18 22:26:39 INFO  TableSortSearchResults:54 - Closing the automation suite
2025-02-18 22:28:58 INFO  TableSortSearchResults:27 - -----------------------------
2025-02-18 22:28:58 INFO  TableSortSearchResults:28 - Starting the automation suite
2025-02-18 22:29:01 INFO  TableSortSearchResults:17 - staring the table sort search test method
2025-02-18 22:29:01 INFO  TableSortSearchResults:20 - entering New York in search box.
2025-02-18 22:29:01 INFO  TableSortSearchResults:28 - staring the table sort search 2 test method
2025-02-18 22:29:01 INFO  TableSortSearchResults:31 - entering New York in search box.
2025-02-18 22:29:02 INFO  TableSortSearchResults:54 - Closing the automation suite
2025-02-18 22:31:49 INFO  TableSortSearchResults:27 - -----------------------------
2025-02-18 22:31:49 INFO  TableSortSearchResults:28 - Starting the automation suite
2025-02-18 22:32:34 INFO  TableSortSearchResults:27 - -----------------------------
2025-02-18 22:32:34 INFO  TableSortSearchResults:28 - Starting the automation suite
2025-02-18 22:34:29 INFO  TableSortSearchResults:27 - -----------------------------
2025-02-18 22:34:29 INFO  TableSortSearchResults:28 - Starting the automation suite
2025-02-18 22:35:14 INFO  TableSortSearchResults:27 - -----------------------------
2025-02-18 22:35:14 INFO  TableSortSearchResults:28 - Starting the automation suite
2025-02-18 22:35:19 INFO  TableSortSearchResults:17 - staring the table sort search test method
2025-02-18 22:35:19 INFO  TableSortSearchResults:20 - entering New York in search box.
2025-02-18 22:35:19 INFO  TableSortSearchResults:28 - staring the table sort search 2 test method
2025-02-18 22:35:19 INFO  TableSortSearchResults:31 - entering New York in search box.
2025-02-18 22:35:20 INFO  TableSortSearchResults:55 - Closing the automation suite
